title,url,date,source
"Most Read – Qualcomm, Big Beautiful Bill, Semi sales",https://www.electronicsweekly.com/blogs/electro-ramblings/latest-news/most-read-qualcomm-big-beautiful-bill-semi-sales-2025-06/,2025-06-13,Electronics Weekly
"Rugged circular connectors are latching, threaded or break-away",https://www.electronicsweekly.com/news/products/connectors/rugged-circular-connectors-are-latching-threaded-or-break-away-2025-06/,2025-06-13,Electronics Weekly
Green lights for SES acquition of Intelsat,https://www.electronicsweekly.com/news/business/green-lights-for-ses-acquition-of-intelsat-2025-06/,2025-06-13,Electronics Weekly
Sensorless FOC for stepper motor driver,https://www.electronicsweekly.com/news/products/emech-enclosures/sensorless-foc-for-stepper-motor-driver-2025-06/,2025-06-13,Electronics Weekly
Alice & Bob adopt CUDA and run 75x faster,https://www.electronicsweekly.com/news/business/alice-bob-adopt-cuda-2025-06/,2025-06-13,Electronics Weekly
Q1 foundry revenue down 5.4%,https://www.electronicsweekly.com/news/business/q1-foundry-revenue-down-5-4-2025-06/,2025-06-13,Electronics Weekly
Q1 server and storage component market surges 62% y-o-y,https://www.electronicsweekly.com/news/business/q1-server-and-storage-component-market-surges-62-y-o-y-2025-06/,2025-06-13,Electronics Weekly
Dstl trials underwater robot to improve pipeline and cable security,https://www.electronicsweekly.com/news/dstl-trials-underwater-robot-to-improve-pipeline-and-cable-security-2025-06/,2025-06-13,Electronics Weekly
Smoking Uncool,https://www.electronicsweekly.com/blogs/mannerisms/consumer/smoking-uncool-2025-06/,2025-06-13,Electronics Weekly
The FCC Builds a Firewall Around US-Bound Electronics,https://www.eetimes.com/the-fcc-builds-a-firewall-around-us-bound-electronics/,2025-06-12,EE Times
"GD32C231 Series MCU — Redefining Cost-Performance, Unleashing New Potential!",https://www.eetimes.com/gd32c231-series-mcu-redefining-cost-performance-unleashing-new-potential/,2025-06-12,EE Times
Cupola360 RX2000: Smart Patrol Camera at COMPUTEX for Real-Time Spatial Awareness,https://www.eetimes.com/cupola360-rx2000-smart-patrol-camera-at-computex-for-real-time-spatial-awareness/,2025-06-12,EE Times
Indian Automotive OEMs Stand to Benefit from an Open GMSL,https://www.eetimes.com/indian-automotive-oems-stand-to-benefit-from-an-open-gmsl/,2025-06-12,EE Times
Cortex-M23 microcontrollers,https://www.electronicsweekly.com/news/products/micros/cortex-m23-microcontrollers-2025-06/,2025-06-12,Electronics Weekly
Altum amps speed RF design with Quantic blocks,https://www.edn.com/altum-amps-speed-rf-design-with-quantic-blocks/,2025-06-12,EDN Network
Amp elevates K-band throughput for LEO sats,https://www.edn.com/amp-elevates-k-band-throughput-for-leo-sats/,2025-06-12,EDN Network
Simultaneous sweep boosts multi-VNA test speed,https://www.edn.com/simultaneous-sweep-boosts-multi-vna-test-speed/,2025-06-12,EDN Network
Eval board eases battery motor-drive design,https://www.edn.com/eval-board-eases-battery-motor-drive-design/,2025-06-12,EDN Network
MCUs enable USB-C Rev 2.4 designs,https://www.edn.com/mcus-enable-usb-c-rev-2-4-designs/,2025-06-12,EDN Network
"The 2025 WWDC: From Intel, Apple’s Nearly Free, and the New Interfaces Are…More Shiny?",https://www.edn.com/the-2025-wwdc-from-intel-apples-nearly-free-and-the-new-interfaces-aremore-shiny/,2025-06-12,EDN Network
AI Demand Drives Disaggregated Storage,https://www.eetimes.com/ai-demand-drives-disaggregated-storage/,2025-06-11,EE Times
Innatera Adds More Accelerators to Spiking Microcontroller,https://www.eetimes.com/innatera-adds-more-accelerators-to-spiking-microcontroller/,2025-06-11,EE Times
Can Neocloud Architectures Break the AI Infra Bottleneck?,https://www.eetimes.com/can-neocloud-architectures-break-the-ai-infra-bottleneck/,2025-06-11,EE Times
A two-way Wilson current mirror,https://www.edn.com/a-two-way-wilson-current-mirror/,2025-06-11,EDN Network
China Sharpens Strategy in the Global 6G Race,https://www.eetimes.com/china-sharpens-strategy-in-the-global-6g-race/,2025-06-10,EE Times
MEMS Speakers Enable Full-Range Audio in Wearables with Ultrasound,https://www.eetimes.com/mems-speakers-enable-full-range-audio-in-wearables-with-ultrasound/,2025-06-10,EE Times
VLSI 2025: Outer Wall Forksheet Bridges Nanosheet and CFET Architectures,https://www.eetimes.com/vlsi-2025-outer-wall-forksheet-bridges-nanosheet-and-cfet-architectures/,2025-06-10,EE Times
A two-wire temperature transmitter using an RTD sensor,https://www.edn.com/a-two-wire-temperature-transmitter-using-an-rtd-sensor/,2025-06-10,EDN Network
Tony Pialis’ design journey to high-speed SerDes,https://www.edn.com/tony-pialis-design-journey-to-high-speed-serdes/,2025-06-10,EDN Network
"Tricked by fake Apple AirPods 2: Fool me once, shame on you",https://www.edn.com/fooled-by-fake-apple-airpods-2-fool-me-once-shame-on-you/,2025-06-10,EDN Network
